controller_support,dlc,website,pc,mac,linux,demos,reviews,movies,recommendations,achievements,developer,publisher,positive,negative,initialprice,language_count,metacritic_score,single_player,multi_player,online_multi_player,local_multi_player,valve_anti_cheat,steam_achievements,steam_trading_cards,steam_cloud,full_controller_support,partial_controller_support,steam_leaderboards,indie,action,casual,adventure,strategy,simulation,early access,rpg,free_to_play,racing,sports,violent,gore,sexual_content,nudity,education,self_published,label
0,0,1,1,0,0,0,0,1,1,1,Egosoft,Egosoft,142,48,4.99,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,8
0,0,1,1,0,0,0,0,1,0,1,Egosoft,Egosoft,57,18,4.99,2,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
1,2,1,1,1,1,1,0,1,1,1,Egosoft,Egosoft,2832,4032,29.99,8,0.0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8
0,0,0,1,0,0,0,0,0,0,1,Sonalysts,Strategy First,52,17,9.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,1,0,0,0,0,0,1,1,Sonalysts,Strategy First,127,31,9.99,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,1,0,0,0,0,0,0,1,Sonalysts,Strategy First,33,14,9.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,1,0,0,0,0,0,1,1,Bugbear Entertainment,Strategy First,5438,343,9.99,6,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
0,0,1,1,0,0,0,0,0,1,1,Techland,Techland,139,39,4.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6
0,0,1,1,0,0,0,0,1,1,1,Techland,Techland Publishing,793,198,9.99,5,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,1,1,0,0,0,0,0,0,1,Techland,Techland,71,36,4.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6
0,0,1,1,0,0,0,0,0,1,1,1C Entertainment,"1C Entertainment, 1C-SoftClub",294,69,4.99,4,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,1,1,1,0,1,0,1,1,1,Katauri Interactive,1C Entertainment,482,53,9.99,8,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8
0,0,1,1,0,0,0,0,0,1,1,Metamorf,THQ Nordic,30,94,4.99,1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,1,0,0,0,0,0,1,1,Kheops Studio,HandyGames,256,172,4.99,4,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,1,1,0,0,1,0,0,1,1,Mindware Studios,THQ Nordic,429,137,4.99,2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
